NaClO4 80K NIR reflectance spectra from 0.35-2.5�m		
This is the data used to create Figure 1		
		
Wavelength (um	% Reflectance	normalized
0.772	0.285910017	0.826313006
0.773	0.285845739	0.826127233
0.774	0.285803647	0.826005583
0.775	0.28579849	0.825990679
0.776	0.285811158	0.826027292
0.777	0.285776756	0.825927864
0.778	0.285706522	0.825724882
0.779	0.285641626	0.825537324
0.78	0.285648568	0.825557386
0.781	0.285662332	0.825597165
0.782	0.285655055	0.825576135
0.783	0.285618054	0.825469197
0.784	0.28556392	0.825312743
0.785	0.285535835	0.825231576
0.786	0.285518165	0.825180506
0.787	0.285472522	0.825048593
0.788	0.285443503	0.824964724
0.789	0.285414609	0.824881217
0.79	0.285384977	0.824795578
0.791	0.285375397	0.824767892
0.792	0.285381783	0.824786348
0.793	0.285390568	0.824811736
0.794	0.285385177	0.824796157
0.795	0.285341443	0.82466976
0.796	0.285345678	0.824682001
0.797	0.285354409	0.824707234
0.798	0.28531395	0.824590301
0.799	0.2853545	0.824707496
0.8	0.285370082	0.824752529
0.801	0.285331595	0.824641298
0.802	0.285281516	0.824496565
0.803	0.285299622	0.824548892
0.804	0.285370066	0.824752484
0.805	0.285439281	0.824952525
0.806	0.28542622	0.824914775
0.807	0.28540916	0.824865469
0.808	0.28541999	0.824896769
0.809	0.285458589	0.825008324
0.81	0.285471565	0.825045826
0.811	0.285485314	0.825085564
0.812	0.285522516	0.825193081
0.813	0.285588938	0.825385049
0.814	0.28561359	0.825456298
0.815	0.285635856	0.825520649
0.816	0.285680261	0.825648982
0.817	0.285749722	0.825849732
0.818	0.285814518	0.826037001
0.819	0.285872371	0.826204204
0.82	0.285924245	0.826354126
0.821	0.285969495	0.826484902
0.822	0.286019168	0.826628463
0.823	0.286068946	0.826772328
0.824	0.286128212	0.826943614
0.825	0.286259431	0.827322851
0.826	0.286385518	0.827687258
0.827	0.286455798	0.827890375
0.828	0.286460474	0.827903888
0.829	0.286507106	0.82803866
0.83	0.286619622	0.828363844
0.831	0.286757568	0.828762525
0.832	0.286843481	0.829010824
0.833	0.286911597	0.829207687
0.834	0.286967005	0.829367821
0.835	0.287037808	0.82957245
0.836	0.287179356	0.82998154
0.837	0.28729743	0.830322789
0.838	0.287399774	0.830618573
0.839	0.287505703	0.830924722
0.84	0.287609776	0.831225505
0.841	0.28765716	0.831362449
0.842	0.287706314	0.831504512
0.843	0.287824714	0.831846701
0.844	0.287955096	0.832223519
0.845	0.288104285	0.832654693
0.846	0.288236916	0.833038012
0.847	0.288308717	0.833245525
0.848	0.288359346	0.83339185
0.849	0.288475295	0.833726956
0.85	0.288658042	0.834255115
0.851	0.28882291	0.834731601
0.852	0.288897578	0.8349474
0.853	0.288986012	0.835202985
0.854	0.289124053	0.835601939
0.855	0.289205829	0.835838282
0.856	0.289306284	0.83612861
0.857	0.289430337	0.836487136
0.858	0.289558729	0.836858204
0.859	0.289654962	0.837136328
0.86	0.289747444	0.837403614
0.861	0.289854565	0.837713203
0.862	0.289983363	0.838085446
0.863	0.290111115	0.838454664
0.864	0.290264535	0.838898065
0.865	0.290374823	0.839216809
0.866	0.290370531	0.839204406
0.867	0.29045872	0.839459281
0.868	0.290570308	0.839781784
0.869	0.290681134	0.840102086
0.87	0.290818038	0.840497753
0.871	0.290990955	0.840997502
0.872	0.291084622	0.841268212
0.873	0.291084896	0.841269004
0.874	0.291116096	0.841359174
0.875	0.291199305	0.841599659
0.876	0.291319578	0.841947261
0.877	0.291457598	0.842346156
0.878	0.291608535	0.842782381
0.879	0.291666898	0.842951055
0.88	0.291700524	0.84304824
0.881	0.291778611	0.84327392
0.882	0.291841874	0.843456758
0.883	0.291921145	0.843685859
0.884	0.292029432	0.843998822
0.885	0.292144459	0.844331264
0.886	0.29213418	0.844301556
0.887	0.29218913	0.844460366
0.888	0.292308617	0.844805697
0.889	0.292400919	0.845072462
0.89	0.292461617	0.845247886
0.891	0.292548814	0.845499895
0.892	0.29264057	0.845765082
0.893	0.292671487	0.845854436
0.894	0.292686895	0.845898966
0.895	0.292749927	0.846081136
0.896	0.292849894	0.84637005
0.897	0.292912788	0.846551824
0.898	0.292957007	0.84667962
0.899	0.293005477	0.846819705
0.9	0.293072262	0.84701272
0.901	0.293157268	0.847258397
0.902	0.293259902	0.847555022
0.903	0.293328114	0.847752161
0.904	0.293356242	0.847833456
0.905	0.293419356	0.848015864
0.906	0.293508503	0.848273509
0.907	0.293578882	0.848476912
0.908	0.293619173	0.848593356
0.909	0.293699532	0.848825602
0.91	0.293769382	0.849027479
0.911	0.293835573	0.849218778
0.912	0.293892592	0.84938357
0.913	0.293859043	0.849286609
0.914	0.29393101	0.849494601
0.915	0.294050677	0.849840453
0.916	0.294110944	0.850014633
0.917	0.294122781	0.850048841
0.918	0.29420011	0.850272333
0.919	0.294289639	0.850531081
0.92	0.294311638	0.85059466
0.921	0.294345399	0.850692234
0.922	0.294408646	0.850875024
0.923	0.294440733	0.850967761
0.924	0.294396397	0.850839624
0.925	0.294445531	0.850981628
0.926	0.294515395	0.851183542
0.927	0.294574049	0.851353057
0.928	0.294621047	0.851488888
0.929	0.29467422	0.851642565
0.93	0.294762576	0.851897923
0.931	0.294849623	0.852149501
0.932	0.294884351	0.852249869
0.933	0.294966489	0.852487256
0.934	0.294994924	0.852569436
0.935	0.29497352	0.852507576
0.936	0.294982818	0.85253445
0.937	0.295065289	0.852772798
0.938	0.295095879	0.852861207
0.939	0.295102261	0.852879653
0.94	0.295196612	0.853152338
0.941	0.295215818	0.853207845
0.942	0.295289937	0.853422059
0.943	0.295393218	0.853720551
0.944	0.295394136	0.853723204
0.945	0.295421147	0.853801271
0.946	0.29544306	0.853864602
0.947	0.295471704	0.853947386
0.948	0.295552241	0.854180146
0.949	0.295646632	0.854452947
0.95	0.295721867	0.854670386
