MgCl2.4H2O 80K NIR reflectance spectra from 0.35-2.5um		
This is the data used to create Figure 2		
		
Wavelength (um)	% Reflectance	normalized
0.898	0.325690542	0.950140874
0.899	0.326315912	0.951965272
0.9	0.327086999	0.954214774
0.901	0.327906107	0.956604365
0.902	0.328663744	0.958814629
0.903	0.329261689	0.960559022
0.904	0.32969159	0.961813177
0.905	0.330064628	0.962901445
0.906	0.330388194	0.963845389
0.907	0.330621696	0.964526585
0.908	0.330764146	0.964942157
0.909	0.330915542	0.965383826
0.91	0.330964211	0.96552581
0.911	0.330957345	0.965505778
0.912	0.330939653	0.965454166
0.913	0.330835931	0.965151577
0.914	0.330748994	0.964897955
0.915	0.330656067	0.964626857
0.916	0.330492339	0.964149212
0.917	0.330190784	0.963269481
0.918	0.329930302	0.962509574
0.919	0.329678605	0.961775294
0.92	0.329362688	0.960853667
0.921	0.329073418	0.960009778
0.922	0.328872851	0.95942466
0.923	0.328720858	0.958981249
0.924	0.328567368	0.95853347
0.925	0.328528093	0.958418894
0.926	0.328634939	0.958730597
0.927	0.328842325	0.959335607
0.928	0.329058917	0.959967471
0.929	0.32919989	0.960378734
0.93	0.329358962	0.960842796
0.931	0.32952229	0.961319277
0.932	0.329624497	0.961617445
0.933	0.329731272	0.961928943
0.934	0.329773694	0.962052701
0.935	0.329758232	0.962007591
0.936	0.329753343	0.961993329
0.937	0.329843261	0.962255649
0.938	0.329869267	0.962331515
0.939	0.329865466	0.962320428
0.94	0.329969912	0.962625128
0.941	0.329951476	0.962571345
0.942	0.329968129	0.962619929
0.943	0.330027322	0.962792611
0.944	0.330014964	0.962756561
0.945	0.330005563	0.962729135
0.946	0.329932363	0.962515587
0.947	0.329789301	0.962098231
0.948	0.329622209	0.961610771
0.949	0.329408033	0.960985952
0.95	0.329135971	0.960192263
0.951	0.328770497	0.959126061
0.952	0.32828071	0.9576972
0.953	0.327795185	0.956280772
0.954	0.327240299	0.954661997
0.955	0.326630343	0.952882565
0.956	0.326055558	0.951205737
0.957	0.325501413	0.949589125
0.958	0.324921772	0.947898132
0.959	0.324311297	0.946117184
0.96	0.323696181	0.944322698
0.961	0.323026584	0.942369277
0.962	0.322440426	0.940659271
0.963	0.321934665	0.939183809
0.964	0.321398804	0.937620535
0.965	0.320889798	0.936135606
0.966	0.320330756	0.934504704
0.967	0.319687582	0.932628367
0.968	0.318971577	0.930539555
0.969	0.318193914	0.92827087
0.97	0.317446926	0.926091673
0.971	0.316747649	0.924051664
