NaClO4.2H2O 80K NIR reflectance spectra from 0.35-2.5�m		
This is the data used to create Figure 1		
		
Wavelength (um	% Reflectance	normalized
0.642	0.201855171	0.965406273
0.643	0.201787239	0.96508138
0.644	0.201724525	0.964781438
0.645	0.201762469	0.964962911
0.646	0.201744251	0.964875779
0.647	0.201663455	0.964489359
0.648	0.201581317	0.96409652
0.649	0.20161225	0.964244462
0.65	0.201625805	0.964309293
0.651	0.201577938	0.964080359
0.652	0.201520179	0.963804119
0.653	0.201465149	0.963540928
0.654	0.20144121	0.963426436
0.655	0.201449567	0.963466406
0.656	0.201421655	0.96333291
0.657	0.201363413	0.963054361
0.658	0.201320635	0.962849767
0.659	0.201341818	0.962951077
0.66	0.201326662	0.962878593
0.661	0.201270691	0.962610901
0.662	0.201191952	0.962234316
0.663	0.2011229	0.961904067
0.664	0.201137669	0.961974701
0.665	0.201128266	0.961929731
0.666	0.201003626	0.961333617
0.667	0.20093999	0.961029269
0.668	0.200899562	0.960835912
0.669	0.200871862	0.960703432
0.67	0.200862179	0.960657125
0.671	0.200776821	0.960248883
0.672	0.20069962	0.959879659
0.673	0.200685063	0.959810036
0.674	0.200672322	0.9597491
0.675	0.20067794	0.959775971
0.676	0.200678386	0.959778103
0.677	0.200650187	0.959643234
0.678	0.200644941	0.959618148
0.679	0.200646467	0.959625445
0.68	0.200643499	0.959611252
0.681	0.200634235	0.959566944
0.682	0.200603256	0.959418779
0.683	0.200584376	0.959328486
0.684	0.200595763	0.959382943
0.685	0.200592518	0.959367424
0.686	0.200515947	0.959001209
0.687	0.200445175	0.958662732
0.688	0.200498568	0.958918092
0.689	0.200505809	0.958952725
0.69	0.200461108	0.958738934
0.691	0.2003908	0.958402675
0.692	0.200339456	0.958157114
0.693	0.200328269	0.958103609
0.694	0.20033931	0.958156415
0.695	0.200340706	0.958163089
0.696	0.200296669	0.957952477
0.697	0.200268551	0.957817998
0.698	0.200269697	0.95782348
0.699	0.200277548	0.957861029
0.7	0.200278523	0.95786569
0.701	0.200266163	0.957806576
0.702	0.200238138	0.957672542
0.703	0.200192149	0.957452594
0.704	0.200195363	0.957467965
0.705	0.200212085	0.957547938
0.706	0.200184885	0.957417849
0.707	0.200123593	0.957124713
0.708	0.200076301	0.95689853
0.709	0.20005463	0.956794885
0.71	0.20003618	0.956706644
0.711	0.199994933	0.956509374
0.712	0.199951344	0.9563009
0.713	0.199918746	0.956144995
0.714	0.199877444	0.955947462
0.715	0.199838133	0.955759453
0.716	0.199796746	0.95556151
0.717	0.199740097	0.955290577
0.718	0.199635387	0.954789785
0.719	0.199532707	0.954298699
0.72	0.199445945	0.953883746
0.721	0.199348575	0.953418057
0.722	0.199226926	0.952836251
0.723	0.199085043	0.952157672
0.724	0.198940887	0.951468224
0.725	0.19882959	0.950935925
0.726	0.198776696	0.950682949
0.727	0.198785854	0.95072675
0.728	0.198838233	0.950977263
0.729	0.198872249	0.951139947
0.73	0.198886414	0.951207696
0.731	0.198868204	0.951120602
0.732	0.198791761	0.950755003
0.733	0.198706736	0.950348355
0.734	0.198636437	0.950012139
0.735	0.19857363	0.949711755
0.736	0.198450765	0.949124131
0.737	0.198321	0.948503509
0.738	0.198170804	0.947785169
0.739	0.197968999	0.946820005
0.74	0.19776733	0.945855487
0.741	0.197513779	0.944642837
0.742	0.197192993	0.943108626
0.743	0.196836804	0.941405089
0.744	0.196435089	0.939483819
0.745	0.196011627	0.937458545
0.746	0.195600098	0.935490336
