NaCl 80K NIR reflectance spectra from 0.35-2.5�m		
This is the data used to create Figure 1		
		
Wavelength (um	% Reflectance	normalized
0.766	0.283370702	0.938392469
0.767	0.283284469	0.938106904
0.768	0.283181701	0.937766584
0.769	0.283010532	0.937199751
0.77	0.282909161	0.936864058
0.771	0.282841761	0.936640861
0.772	0.282731812	0.936276761
0.773	0.282597754	0.935832823
0.774	0.282494153	0.935489744
0.775	0.282430495	0.935278939
0.776	0.282376076	0.935098728
0.777	0.282272005	0.934754093
0.778	0.282169756	0.934415491
0.779	0.282081574	0.934123474
0.78	0.281937431	0.933646139
0.781	0.281808118	0.933217913
0.782	0.281686884	0.932816444
0.783	0.281567342	0.932420577
0.784	0.281514866	0.932246801
0.785	0.28147296	0.932108025
0.786	0.281416461	0.931920929
0.787	0.281335121	0.931651569
0.788	0.281189044	0.931167826
0.789	0.281070389	0.930774896
0.79	0.280995338	0.930526363
0.791	0.280888934	0.930174003
0.792	0.280833491	0.929990401
0.793	0.280781325	0.929817652
0.794	0.280693617	0.929527203
0.795	0.280608678	0.929245924
0.796	0.280508084	0.928912805
0.797	0.280408674	0.928583606
0.798	0.280325089	0.928306808
0.799	0.280200379	0.927893827
0.8	0.280131121	0.927664476
0.801	0.280104723	0.927577059
0.802	0.280033848	0.927342355
0.803	0.279958489	0.9270928
0.804	0.279907582	0.926924219
0.805	0.279870552	0.926801593
0.806	0.279785269	0.926519177
0.807	0.279703104	0.926247085
0.808	0.279646763	0.926060507
0.809	0.279617374	0.925963185
0.81	0.279583193	0.925849994
0.811	0.279512337	0.925615353
0.812	0.279454361	0.925423362
0.813	0.279462333	0.92544976
0.814	0.279408717	0.92527221
0.815	0.279389995	0.925210212
0.816	0.279392527	0.925218597
0.817	0.279316638	0.924967285
0.818	0.279239211	0.924710885
0.819	0.279205424	0.924598996
0.82	0.2792079	0.924607196
0.821	0.279170933	0.924484779
0.822	0.279157027	0.924438729
0.823	0.279168134	0.92447551
0.824	0.279183156	0.924525258
0.825	0.279160265	0.924449451
0.826	0.279131157	0.924353061
0.827	0.279112273	0.924290526
0.828	0.279111084	0.924286586
0.829	0.279122338	0.924323856
0.83	0.279151865	0.924421636
0.831	0.279176471	0.924503119
0.832	0.279161925	0.92445495
0.833	0.27917876	0.924510699
0.834	0.279201685	0.924586616
0.835	0.279216375	0.924635263
0.836	0.279238465	0.924708414
0.837	0.279267955	0.924806071
0.838	0.279295638	0.924897743
0.839	0.279319422	0.924976507
0.84	0.27935903	0.925107668
0.841	0.279386772	0.925199538
0.842	0.279412291	0.925284045
0.843	0.279446224	0.925396416
0.844	0.279450272	0.925409822
0.845	0.279461441	0.925446807
0.846	0.279514475	0.925622431
0.847	0.279617907	0.92596495
0.848	0.279646419	0.92605937
0.849	0.279666775	0.92612678
0.85	0.2797095	0.926268264
0.851	0.279753661	0.926414505
0.852	0.279776627	0.926490557
0.853	0.279784306	0.926515988
0.854	0.279801208	0.926571957
0.855	0.2798684	0.926794467
0.856	0.27987281	0.92680907
0.857	0.279873197	0.926810353
0.858	0.279919467	0.926963577
0.859	0.279938948	0.92702809
0.86	0.279927095	0.926988838
0.861	0.279910306	0.926933239
0.862	0.279923911	0.926978294
0.863	0.279986012	0.927183943
0.864	0.280037204	0.927353468
0.865	0.280067191	0.927452771
0.866	0.280094738	0.927543994
0.867	0.280124502	0.927642559
0.868	0.280161033	0.927763531
0.869	0.28019652	0.927881049
0.87	0.280213599	0.927937607
0.871	0.280197024	0.927882719
0.872	0.280194889	0.927875648
0.873	0.280226219	0.927979397
0.874	0.280261842	0.928097365
0.875	0.280233637	0.928003963
0.876	0.280220127	0.927959224
0.877	0.280255804	0.92807737
0.878	0.28024802	0.928051591
0.879	0.280214016	0.927938988
0.88	0.28019657	0.927881214
0.881	0.28022589	0.927978307
0.882	0.280289392	0.928188599
0.883	0.280251963	0.92806465
0.884	0.280213919	0.927938665
0.885	0.280291519	0.928195642
